author,helpfulness_vote_information,id,position,rating,review_date,reviewed_version,text,title
"{'name': 'soph094', 'author_id': '486463152'}",,14240203890,1,1,"Jun 29, 2026",Version 1.3.1,When I first heard about this game I thought it sounded fun so I decided to get it without checking the reviews. Honestly big mistake because as soon as I opened the app I was met with subscriptions and Ai everything. It’s lazy and doesn’t really make it any better that you have to pay at least 5.99 just to play the game. 0/10,Not paying for Ai
"{'name': 'meow123bejebej', 'author_id': '1482358769'}",,14239056502,2,1,"Jun 29, 2026",Version 1.3.1,"the game overall was fun, however once you get to the ninth question, it makes you pay to continue. don’t waste your time if you’re not willing to pay.",im not paying to continue.
"{'name': 'really rrallly bad', 'author_id': '1632615416'}",,14234323680,3,4,"Jun 27, 2026",Version 1.3.1,i like it but we should be able to text people on the phone and have sound when doing certain things,good but
"{'name': '- \U0001fab7', 'author_id': '1358383483'}",,14229465258,4,1,"Jun 26, 2026",Version 1.3.1,"they tried extorting my last 5 dollar bill i had to choose between feeding my daughter and getting this subscription, iam now in overdraft and thr bank kept threatening me to close my account.",THERE WASNT A ZERO STAR OPTIONS
"{'name': 'Cloie122', 'author_id': '311216979'}",,14215766188,5,1,"Jun 23, 2026",Version 1.3.0,"I was answering question 9 with the first couple, and none of the answers were working. It was an easy one so I KNOW it was correct. The app kept telling me to buy stalkiepro. It wants you to pay for all of the full questions. So you can never fully complete one of the stories. Completely scammy.",Makes you pay for all of the questions.
"{'name': '-mazerunner', 'author_id': '1441422070'}",,14209928700,6,2,"Jun 21, 2026",Version 1.3.0,"I wanted to play, I have heard really good things about this app but it never let me in the app. This might be a glitch but I can’t even play it.",It was something…
"{'name': 'Kilometers55', 'author_id': '1614123878'}",,14200379807,7,1,"Jun 19, 2026",Version 1.3.0,"#1 The developers are stealing real humans photos and using it in their game mixed with AI. The problem is they do not own copyright and yet they’re charging users to further interact with the game, legally they can be sued because again THEY DO NOT HAVE THE COPYRIGHT TO USE PHOTOS AND MONETIZE FOR PROFIT.",Legal?
"{'name': 'good creator', 'author_id': '1251637962'}",,14199530491,8,1,"Jun 19, 2026",Version 1.3.0,it lets you get through have of an episode before it won’t let you play until you pay some amount of money. It lets you get close to finishing then won’t let you untill you pay. not worth the money.,nah man
"{'name': 'Deezul323', 'author_id': '245032465'}",,14195939311,9,1,"Jun 18, 2026",Version 1.3.0,Except you have to pay to finish stories and I will never pay for a game that uses AI. Uninstalling with the quickness,Was a cool concept for game
"{'name': 'em7g18l13', 'author_id': '1481242465'}",,14195481897,10,1,"Jun 18, 2026",Version 1.3.0,do i even have to explain,it should be free
"{'name': '25th Hunger games tribute', 'author_id': '87651114'}",,14192275777,11,2,"Jun 17, 2026",Version 1.2.9,"It is a good idea of a game but you have to pay to play and game uses so much ai, the hints could be better. In all if it were free and just a little better set up (and used a lot less ai) it would be a lot more enjoyable.",Would be better if free.
"{'name': 'unicornbarf2468', 'author_id': '542514433'}",,14191863473,12,3,"Jun 17, 2026",Version 1.2.9,they should have it so u can do more without payig rlly cool game tho,good game but annoying to pay
"{'name': 'Big Down Lower', 'author_id': '1933841647'}",,14191757577,13,1,"Jun 17, 2026",Version 1.2.9,Didn’t let me finish the episode without paying. Also uses ai.,Sucks
"{'name': 'kimcm95', 'author_id': '560370498'}",,14187782393,14,1,"Jun 16, 2026",Version 1.2.9,I love the concept of this game and it’s really fun! I just hate how it’s not free and won’t even let you complete at least one story. I feel like I wasted my time since I didn’t know you had to pay to unlock the full thing until i got to question 13 and it kept trying to make me pay even though my answer was RIGHT!,Pay Wall smh
"{'name': 'Not a a good game at all', 'author_id': '1933406783'}",,14187149624,15,1,"Jun 15, 2026",Version 1.2.9,This game is terrible it’s fun at first but then it acts really crazy for example i got a question that was asking what he wanted engraved on her ring I literally copied and pasted it because typing wasn’t working and it still didn’t work this game is fun for a second then it just becomes a nuisance,Don’t get
"{'name': 'parents and kids roblox', 'author_id': '1399329795'}",,14186646928,16,2,"Jun 15, 2026",Version 1.2.9,This game started off as fun and exciting but when i was on my 10th question it told me i had to pay 20-30 dollars to unlock it everything this game could be fun if it wasn’t so pay to play,pay to play??
"{'name': 's..slslsla.s.s', 'author_id': '1933265506'}",,14185603856,17,4,"Jun 15, 2026",Version 1.2.9,This is so hard I can’t get pass episode 1,Why is it so hard
"{'name': '\U0001fa77😜🤭', 'author_id': '1816396913'}",,14183165098,18,3,"Jun 14, 2026",Version 1.2.9,I think it’s a good game and I like the idea of it but you can barely play it without having to pay. Nothing wrong with having money options but like come on. Also you didn’t have to use ai it just makes the game feel lazy and stupid,Barely playable
"{'name': 'UnpaidHottie', 'author_id': '1933022974'}",,14183112056,19,3,"Jun 14, 2026",Version 1.2.9,I can’t even see the full potential of the game because it’s asking you to pay after 9 questions. At least let someone finish one round so we can see how it goes…,Paying after Question 9
"{'name': 'Vivian D’Angelo', 'author_id': '1605985756'}",,14180278440,20,2,"Jun 14, 2026",Version 1.2.9,I think this is a great game and you get so invested but then once u get super I and it starts getting good you have to pay and y can no longer keep going,Opinion
"{'name': 'Ashlyn Redwood', 'author_id': '643744504'}",,14180184549,21,2,"Jun 14, 2026",Version 1.2.9,it was a good game for a bit and i was having a lot of fun doing it with my friend but i wish there was not a pay wall and we could just do multiple stories,"great concept, horrible price"
"{'name': '0:$:&:8,', 'author_id': '1663241434'}",,14176412643,22,1,"Jun 13, 2026",Version 1.2.9,After a while you have to pay money(6 dollars) just to continue the game. Plus it uses ai. Could’ve been such a good game but ofc too good to be true,Does not deserve 4.6 average
